번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
3152,마감,주식회사 에스씨엠솔루션,2023-04-07 ~ 2023-04-30,2023-04-10,경영지원 및 서비스 운영관리 모집,기타,기타,경력무관,학력 : 무관
3151,마감,씨아이랩스,2023-04-06 ~ 2023-05-31,2023-04-06,[경력]정부지원사업&나라장터 입찰 제안 기획 관리직 모집,"블록체인,금융 소프트웨어,기타",기획/마케팅,경력,정부지원사업 참여&수주경험
3150,마감,핀샷,~ 2023-04-21,2023-04-04,Web 개발자 모집,간편결제/간편송금,"백엔드 개발,프론트엔드 개발",경력무관 >,
3149,마감,핀샷,~ 2023-04-09,2023-04-04,중국 컨텐츠 기획/마케팅 담당자 모집,간편결제/간편송금,기타,경력무관 >,
3148,마감,핀샷,~ 2023-04-09,2023-04-04,경영지원팀 금융행정 담당자 모집,간편결제/간편송금,기타,신입,신입 / 경력 가능 금융서비스 / 금융전략에 관심 있는 분
3147,마감,직페이,~ 2023-05-03,2023-04-04,[IT스타트업] 직페이에서 회계경리담당자를 찾고있습니다 :D,보안/인증,기타,경력,더존프로그램 사용 가능한
3146,마감,직페이,~ 2023-05-03,2023-04-04,[IT스타트업] 직페이에서 IT개발자를 찾고있습니다 :D,보안/인증,백엔드 개발,경력,"웹 어플리케이션 개발, 운영 경험자로서 실무 3년차 이상 또는 그에 준하는 역량을 보유하신"
3145,마감,지머니트랜스,~ 2023-05-07,2023-04-04,2023 회계.재무 팀원 채용합니다,소액해외송금,기타,"신입,경력",크고 작은 프로젝트에 책임감을 갖고 적극적으로 일하는 분
3144,마감,지머니트랜스,~ 2023-05-07,2023-04-04,2023 디지털마케팅.디자인 팀원 채용합니다,소액해외송금,기획/마케팅,"신입,경력",Adobe 디자인 관련 툴 사용이 익숙한 분
3143,마감,지머니트랜스,~ 2023-04-30,2023-04-04,[지머니트랜스] Marketing/CS 사원 채용 (외국인 우대)-상시채용,소액해외송금,기획/마케팅,"신입,경력","중국, 아프리카, 필리핀, 태국, 베트남, 스리랑카, 러시아, 네팔, 우즈베키스탄, 튀르키예, 몽골, 인도네시아, 캄보디아 대"
3142,마감,루센트블록,2023-04-04 ~ 2023-07-03,2023-04-04,[상시채용] Tech 직군,금융 소프트웨어,"백엔드 개발,프론트엔드 개발,모바일앱 개발",경력무관,모집내용 참고
3141,마감,이나인페이,2023-04-05 ~ 2023-05-07,2023-04-04,[E9pay] 외환관리팀 마케팅 담당자 채용,소액해외송금,기획/마케팅,"신입,경력","영어가능자, 해당 직무 경험자, 영어능통자(우대), 해외 여행 결격사유가 없는자"
3140,마감,이나인페이,2023-04-05 ~ 2023-05-07,2023-04-04,[E9pay] 정보보호팀 정보보안 담당자 채용,소액해외송금,네트워크/서버/보안,경력 >,
3139,마감,이나인페이,2023-04-05 ~ 2023-05-07,2023-04-04,[E9pay] 자금세탁방지부 이종통화환전 및 자금 관리 업무 담당자,소액해외송금,"기획/마케팅,기타",신입 >,
3138,마감,이나인페이,2023-04-05 ~ 2023-05-07,2023-04-04,[E9pay] 자금세탁방지부 AML 담당자 모집,소액해외송금,기타,신입 >,
3137,마감,(주)유핀테크허브,~ 2023-04-17,2023-03-28,[정규직] 운영팀 직원 (고객상담),소액해외송금,기타,"신입,경력",새로운 분야에 도전을 원하시는 분 (신입 환영)
3136,마감,(주)유핀테크허브,~ 2023-04-17,2023-03-28,[정규직] 운영팀 직원 (서비스 운영),소액해외송금,기타,> 다양한 업무를 경험해보고 적성을 찾고 싶으신 분,
3135,마감,위펀딩,~ 2023-04-30,2023-03-28,위펀딩의 고객 경험을 책임질 [CX 마케터]를 모십니다-상시채용,빅데이터 분석,기획/마케팅,"신입,경력",VOC 분석을 토대로 고객 인사이트를 도출하고 서비스 개선 방안을 제안한 경험을 가진 분
3134,마감,위펀딩,~ 2023-04-30,2023-03-28,위펀딩의 성장을 견인할 [백오피스 매니저]를 모십니다-상시채용,빅데이터 분석,기타,신입,"총무 업무에 대한 전반적이고 체계적인 이해, 향후 커리어 성장을 기획하고 계신 분"
3133,마감,(주)웰그램,~ 2023-03-31,2023-03-28,프로덕트디자이너(서비스기획) 경력직 채용,인슈어테크,기획/마케팅,경력,서비스기획 경력 1년 이상 6년 이하이신 분 (유관 직무 경력 포함 가능)
3132,마감,원투씨엠,~ 2023-04-30,2023-03-28,Mobile IT 분야 해외 마케팅 신입 채용-채용시 마감,보안/인증,기획/마케팅,신입,- 영어 능통자 (Native 수준) - 해외 출장 가능자
3131,마감,원투씨엠,~ 2023-04-30,2023-03-28,서버/백엔드 개발자 채용-상시채용,보안/인증,네트워크/서버/보안,"신입,경력",Spring Boot 기반의 프로젝트 구축 가능하신 분
3130,마감,와디즈,~ 2023-04-09,2023-03-28,[와디즈] 광고사업팀 SNS 광고 운영 (체험형 인턴),크라우드펀딩,기타,"신입,경력",펀딩 참여 경험으로 와디즈 서비스에 대한 기본적인 이해도가 있으신 분
3129,마감,와디즈,~ 2023-04-26,2023-03-28,[와디즈] 정산 담당자 (신입/경력),크라우드펀딩,기타,"신입,경력",크라우드 펀딩에 대한 이해도가 있으신 분 ㆍ기본적인 회계 지식을 보유하신 분
3128,마감,와디즈,~ 2023-04-02,2023-03-28,[와디즈] 펀딩 Success Director (경력),크라우드펀딩,기타,경력,와디즈 프로젝트 별 성공 요인에 대해 분석이 가능한 분
3127,마감,와디즈,~ 2023-04-30,2023-03-28,[와디즈] 모바일 앱 개발(Android) (경력)-채용시 마,크라우드펀딩,모바일앱 개발,경력,Android 개발 경력 6년 이상 있으신 분 • Kotlin 개발 경험이 있으신 분
3126,마감,옵타움플랫폼,~ 2023-04-07,2023-03-28,[위챗/알리페이/학원알림톡] 가맹점모집영업 프리랜서 채용,간편결제/간편송금,기타,"신입,경력 >",
3125,마감,옵타움플랫폼,~ 2023-04-13,2023-03-28,회계 정산팀 채용공고,간편결제/간편송금,기타,경력무관,경력 : 무관 (경력자 우대)
3124,마감,엠마우스,~ 2023-04-30,2023-03-28,[페이워치] 사업제휴 담당자(Business Development Manager)- 채용시 마감,개인자산관리,기획/마케팅,> 해당 직무 5년 ~10년 경력,
3123,마감,엠마우스,~ 2023-04-30,2023-03-28,[페이워치] SNS마케터-채용시 마감,개인자산관리,기획/마케팅,경력,"최신 콘텐츠 트렌드와 SNS, SEO를 효과적으로 활용할 수 있으신 분"
